,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
97,stations,{'all': 44},200,"{'lon': -1.69, 'lat': 37.67}",1535927754.0,2514891.0,"{'temp': 17.14, 'pressure': 952.12, 'humidity': 88, 'temp_min': 17.14, 'temp_max': 17.14, 'sea_level': 1028.68, 'grnd_level': 952.12}",,Santa Quiteria,,"{'message': 0.0047, 'country': 'ES', 'sunrise': 1535866703, 'sunset': 1535913198}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 0.87, 'deg': 231.509}"
98,stations,{'all': 88},200,"{'lon': -53.46, 'lat': -33.69}",1535927754.0,3443061.0,"{'temp': 13.19, 'pressure': 1031.88, 'humidity': 97, 'temp_min': 13.19, 'temp_max': 13.19, 'sea_level': 1033.38, 'grnd_level': 1031.88}",,Chuy,{'3h': 0.235},"{'message': 0.0044, 'country': 'UY', 'sunrise': 1535881764, 'sunset': 1535923047}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 5.67, 'deg': 159.509}"
99,stations,{'all': 0},200,"{'lon': -114.04, 'lat': 27.97}",1535927755.0,4021858.0,"{'temp': 25.99, 'pressure': 1012.51, 'humidity': 57, 'temp_min': 25.99, 'temp_max': 25.99, 'sea_level': 1023.58, 'grnd_level': 1012.51}",,Guerrero Negro,,"{'message': 0.0032, 'country': 'MX', 'sunrise': 1535894146, 'sunset': 1535939683}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 4.27, 'deg': 287.009}"
100,stations,{'all': 92},200,"{'lon': 169.85, 'lat': -46.28}",1535927755.0,2208248.0,"{'temp': 8.39, 'pressure': 1009.35, 'humidity': 72, 'temp_min': 8.39, 'temp_max': 8.39, 'sea_level': 1026.49, 'grnd_level': 1009.35}",,Kaitangata,,"{'message': 0.0028, 'country': 'NZ', 'sunrise': 1535828880, 'sunset': 1535868781}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 6.02, 'deg': 224.009}"
101,stations,{'all': 0},200,"{'lon': -42.02, 'lat': -22.97}",1535922000.0,3471451.0,"{'temp': 25.44, 'pressure': 1012, 'humidity': 74, 'temp_min': 24, 'temp_max': 27}",,Arraial do Cabo,,"{'type': 1, 'id': 4469, 'message': 0.009, 'country': 'BR', 'sunrise': 1535878603, 'sunset': 1535920708}",10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 8.7, 'deg': 60}"
102,stations,{'all': 12},200,"{'lon': 135.5, 'lat': -3.36}",1535927756.0,1634614.0,"{'temp': 23.89, 'pressure': 949.04, 'humidity': 81, 'temp_min': 23.89, 'temp_max': 23.89, 'sea_level': 1024.83, 'grnd_level': 949.04}",,Nabire,,"{'message': 0.004, 'country': 'ID', 'sunrise': 1535835363, 'sunset': 1535878741}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 0.32, 'deg': 327.509}"
103,stations,{'all': 0},200,"{'lon': 15.16, 'lat': -26.65}",1535927757.0,3355672.0,"{'temp': 11.59, 'pressure': 1015.02, 'humidity': 84, 'temp_min': 11.59, 'temp_max': 11.59, 'sea_level': 1029.9, 'grnd_level': 1015.02}",,Luderitz,,"{'message': 0.0063, 'country': 'NA', 'sunrise': 1535865025, 'sunset': 1535906849}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 6.02, 'deg': 160.009}"
104,stations,{'all': 40},200,"{'lon': -88.39, 'lat': 18.68}",1535924460.0,3532465.0,"{'temp': 30, 'pressure': 1009, 'humidity': 74, 'temp_min': 30, 'temp_max': 30}",,Bacalar,,"{'type': 1, 'id': 3970, 'message': 0.0034, 'country': 'MX', 'sunrise': 1535888353, 'sunset': 1535933176}",11265.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 7.2, 'deg': 110}"
105,stations,{'all': 90},200,"{'lon': -92.19, 'lat': 14.51}",1535925600.0,3592086.0,"{'temp': 29.49, 'pressure': 1011, 'humidity': 70, 'temp_min': 29, 'temp_max': 30}",,Ocos,,"{'type': 1, 'id': 4180, 'message': 0.0141, 'country': 'GT', 'sunrise': 1535889413, 'sunset': 1535933943}",8000.0,"[{'id': 200, 'main': 'Thunderstorm', 'description': 'thunderstorm with light rain', 'icon': '11d'}]","{'speed': 3.1, 'deg': 220}"
106,stations,{'all': 75},200,"{'lon': 12.3, 'lat': 50.44}",1535925600.0,2810970.0,"{'temp': 15, 'pressure': 1020, 'humidity': 93, 'temp_min': 15, 'temp_max': 15}",,Werda,,"{'type': 1, 'id': 5893, 'message': 0.0052, 'country': 'DE', 'sunrise': 1535862466, 'sunset': 1535910697}",6000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'speed': 1}
